CUSTOMER_NUMBER,txn_count,total_trans_amount,avg_trans_amount,max_trans_amount,std_trans_amount,unique_devices,unique_ips,beneficiary_count,night_txn_ratio,outside_bank_ratio,max_inactive_gap,burst_max,total_app_activities,avg_activity_hour,night_activity_ratio,password_change_count,max_daily_activity,avg_balance_ca,balance_volatility,max_cic_overdue_days,card_utilization_ratio,rule_behavior_device,rule_ato,rule_money_mule,rule_dormant_active,rule_night_anomaly,score_fraud_rule,score_behavioral_instability,score_aml_risk,final_risk_score,Risk_Segment,Fraud,Reason_Code_Details,ML_Pred,Rule_Detected,Business_Action
387989,58.0,21103700.0,363856.8965517241,2500000.0,416375.4568799103,2.0,58.0,51.0,0.0172413793103448,0.0689655172413793,26.0,2.0,1117.0,13.063563115487916,0.0250671441360787,1.0,30.0,3156219.89,1305698.3870970735,1.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 58 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
990538,15.0,3474000.0,231600.0,1000000.0,309587.0060026975,2.0,15.0,6.0,0.0,0.4,29.0,2.0,204.0,15.166666666666666,0.1176470588235294,1.0,26.0,1348501.4388888888,1152125.5521397346,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 15 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
465228,194.0,223634498.0,1152755.144329897,11000000.0,1975419.1496267184,2.0,194.0,89.0,0.0618556701030927,0.3762886597938144,37.0,6.0,772.0,14.345854922279791,0.0699481865284974,3.0,23.0,642229.8644444444,683492.3668104927,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 194 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
510195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215389.18142857144,155049.36072045876,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
494063,28.0,6364750000.0,227312500.0,500000000.0,146281768.70848083,2.0,28.0,28.0,0.0,0.9285714285714286,61.0,2.0,151.0,14.496688741721854,0.0,1.0,17.0,17919260.32181818,17853797.698303856,1.0,0,0,1,1,0,0,50.0,0.0,20.0,70.0,Critical,1,"• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 28 IP | • AML/Mule: Giao dịch khủng 500,000,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 1 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
600933,55.0,103423692.0,1880430.7636363637,12859000.0,2987031.909287812,2.0,55.0,47.0,0.0,0.5636363636363636,27.0,3.0,310.0,14.403225806451612,0.0,2.0,20.0,2627368.7357142856,2541536.8592362967,1.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 55 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
789079,4.0,5850000.0,1462500.0,5050000.0,2397698.5493037556,2.0,4.0,3.0,0.75,0.25,1.0,2.0,35.0,13.285714285714286,0.3142857142857143,1.0,14.0,3839375.39,0.0,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 4 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
695745,28.0,78045000.0,2787321.4285714286,20000000.0,4094268.116693832,3.0,28.0,26.0,0.0,0.8571428571428571,11.0,2.0,191.0,11.806282722513089,0.0,3.0,19.0,28062807.525,17937664.934529126,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 3 máy & 28 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
64594,22.0,27357700.0,1243531.818181818,7000000.0,1750828.6891192992,3.0,22.0,14.0,0.0454545454545454,0.2727272727272727,31.0,2.0,122.0,14.704918032786884,0.040983606557377,2.0,11.0,2647095.6440000003,2273079.8276259247,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 3 máy & 22 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
647040,90.0,221534000.0,2461488.888888889,36000000.0,5608985.5303477505,5.0,90.0,72.0,0.0,0.4333333333333333,17.0,4.0,900.0,14.434444444444445,0.0166666666666666,3.0,36.0,5252115.018,3480150.334529175,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 5 máy & 90 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
