feature,mean_abs_shap
total_trans_amount,5.0137787
unique_devices,2.3638337
avg_trans_amount,1.7155948
password_change_count,1.1346077
max_cic_overdue_days,0.72826
max_trans_amount,0.2714233
max_inactive_gap,0.13350369
night_txn_ratio,0.128558
burst_max,0.09062973
night_activity_ratio,0.046568323
IB_REGISTER_DATE,0.042352192
beneficiary_count,0.032886546
avg_balance_ca,0.030494342
outside_bank_ratio,0.029159397
DATE_OF_BIRTH,0.02452775
Marital_Status,0.021134313
CLIENT_CREATE_DATE,0.019052235
Occupation_Group,0.01894385
balance_volatility,0.015168058
total_app_activities,0.013686409
avg_activity_hour,0.010870098
std_trans_amount,0.008460059
CLIENT_SEX,0.007337744
SMS,0.0064350553
max_daily_activity,0.0062618707
unique_ips,0.005438213
AGE,0.0042214924
txn_count,0.002761081
Education_Level,0.0
VERIFY_METHOD,0.0
EB_REGISTER_CHANNEL,0.0
STAFF,0.0
card_utilization_ratio,0.0
