Mã Khách Hàng (CIF),Phân Cấp Rủi Ro,Biện Pháp Vận Hành,Luận Chứng Toán Học AI (Top 3 SHAP Drivers)
895764,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.156) || [2] Biến 'total_trans_amount'=2,372,000 VND (Điểm phạt SHAP: +3.870) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.335)"
462712,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.999) || [2] Biến 'total_trans_amount'=100,340,254 VND (Điểm phạt SHAP: +3.944) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.345)"
115006,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.369) || [2] Biến 'total_trans_amount'=80,599,151 VND (Điểm phạt SHAP: +3.916) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.334)"
739245,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.151) || [2] Biến 'total_trans_amount'=32,137,106 VND (Điểm phạt SHAP: +3.871) || [3] Biến 'password_change_count'=4.0 (Điểm phạt SHAP: +0.319)"
67971,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.097) || [2] Biến 'total_trans_amount'=63,652,430 VND (Điểm phạt SHAP: +3.992) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.324)"
18979,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.012) || [2] Biến 'total_trans_amount'=387,476,257 VND (Điểm phạt SHAP: +3.946) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.325)"
319968,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.276) || [2] Biến 'total_trans_amount'=10,801,658 VND (Điểm phạt SHAP: +3.864) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.324)"
468279,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +6.914) || [2] Biến 'total_trans_amount'=35,900,000 VND (Điểm phạt SHAP: +4.142) || [3] Biến 'avg_trans_amount'=17,950,000 VND (Điểm phạt SHAP: +0.546)"
67876,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.057) || [2] Biến 'total_trans_amount'=830,000 VND (Điểm phạt SHAP: +3.742) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.276)"
54791,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.996) || [2] Biến 'total_trans_amount'=64,235,000 VND (Điểm phạt SHAP: +4.002) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
767217,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +7.403) || [2] Biến 'total_trans_amount'=695,883,303 VND (Điểm phạt SHAP: +4.177) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.309)"
648249,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=6.0 (Điểm phạt SHAP: +7.294) || [2] Biến 'total_trans_amount'=108,657,000 VND (Điểm phạt SHAP: +4.055) || [3] Biến 'burst_max'=8.0 (Điểm phạt SHAP: +0.504)"
866216,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.026) || [2] Biến 'total_trans_amount'=15,905,000 VND (Điểm phạt SHAP: +3.935) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
591928,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.315) || [2] Biến 'total_trans_amount'=26,251,398 VND (Điểm phạt SHAP: +4.055) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.313)"
420717,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +7.872) || [2] Biến 'total_trans_amount'=94,855,640 VND (Điểm phạt SHAP: +4.013) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
118961,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.139) || [2] Biến 'total_trans_amount'=31,840,000 VND (Điểm phạt SHAP: +3.866) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
828487,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=4.0 (Điểm phạt SHAP: +7.325) || [2] Biến 'total_trans_amount'=192,468,555 VND (Điểm phạt SHAP: +4.052) || [3] Biến 'password_change_count'=3.0 (Điểm phạt SHAP: +0.320)"
684002,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.207) || [2] Biến 'total_trans_amount'=12,589,000 VND (Điểm phạt SHAP: +3.860) || [3] Biến 'password_change_count'=1.0 (Điểm phạt SHAP: +0.334)"
210260,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=2.0 (Điểm phạt SHAP: +8.063) || [2] Biến 'total_trans_amount'=2,270,000 VND (Điểm phạt SHAP: +3.885) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.335)"
830962,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=6.0 (Điểm phạt SHAP: +7.866) || [2] Biến 'total_trans_amount'=310,535,775 VND (Điểm phạt SHAP: +3.969) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
74175,High,CRITICAL: BLOCK IMMEDIATELY,"[1] Biến 'unique_devices'=3.0 (Điểm phạt SHAP: +8.079) || [2] Biến 'total_trans_amount'=21,990,000 VND (Điểm phạt SHAP: +3.936) || [3] Biến 'password_change_count'=2.0 (Điểm phạt SHAP: +0.334)"
