month,transaction_count,avg_risk_score,p95_risk_score,medium_plus_rate,high_critical_rate,avg_amount
2019-01,3203,40.23081163504728,99.84942009024655,0.28910396503278174,0.09116453325007805,17308237.06806119
2019-02,6249,39.87918956276991,99.86528295745552,0.2893262922067531,0.09777564410305649,8954312.49543927
2019-03,16440,44.34077567984586,99.92578098873763,0.33905109489051094,0.11374695863746959,10814909.465815086
2019-04,29846,47.93905328708043,99.94015817391646,0.3751591503048985,0.1260135361522482,10724608.320612477
2019-05,52403,52.363681549168156,99.94732430201586,0.42823884128771256,0.133198481002996,10692997.862011718
2019-06,74970,47.53757847977849,99.87941938091024,0.30202747765772975,0.09485127384287048,9585414.623505268
2019-07,107564,44.28615210033026,99.43798210192836,0.2072626529322078,0.06373879736714887,9216334.589825593
2019-08,142691,55.11430481414589,99.96228328565728,0.4417657735946906,0.14208324281138965,8448851.296029883
2019-09,172971,55.476444889515975,99.95825781405553,0.4431031791456371,0.14423805146527452,8365298.507767198
2019-10,221976,55.76166839790722,99.9431583861957,0.44288121238332073,0.13607777417378455,8749323.529752316
2019-11,266028,55.146558939365036,99.93307996012867,0.436566827551987,0.1327980513329424,8331297.971495482
2019-12,323689,54.67963228933484,99.93038219184501,0.4318898695970515,0.13688447861990985,8484079.00508204
